Price,Response,Value,BBU,BBL,SMA
0.8939,,11025.619137091968,0.895472045899655,0.880147954100345,0.88781
0.8986,,11025.619137091968,0.8971718063715101,0.8792181936284903,0.8881950000000002
0.899,,11025.619137091968,0.8980233403859287,0.8805066596140713,0.889265
0.9082,,11025.619137091968,0.9024243880690564,0.8782156119309436,0.89032
0.9128,,11025.619137091968,0.9072070907940268,0.8760729092059734,0.8916400000000001
0.912,,11025.619137091968,0.910736350061744,0.8750436499382561,0.8928900000000001
0.9189,,11025.619137091968,0.9155222939306173,0.8734777060693828,0.8945000000000001
0.925,,11025.619137091968,0.9211036528378397,0.8717263471621602,0.896415
0.9241,,11025.619137091968,0.9254489838413807,0.8710410161586192,0.898245
0.9209,,11025.619137091968,0.9282942493173562,0.8717657506826436,0.9000299999999999
0.9168,,11025.619137091968,0.9299447378385823,0.8732352621614177,0.90159
0.9139,,11025.619137091968,0.9309722376435472,0.8748277623564529,0.9029
0.9062,,11025.619137091968,0.9309302447556682,0.8767997552443318,0.903865
0.9136,,11025.619137091968,0.9315447517648286,0.8786452482351713,0.905095
0.9157,,11025.619137091968,0.9313508557831461,0.882149144216854,0.9067500000000001
0.9147,,11025.619137091968,0.9313605448484258,0.8847294551515744,0.9080450000000001
0.9125,,11025.619137091968,0.9307230646976837,0.8877669353023162,0.909245
0.913,,11025.619137091968,0.930132162447219,0.8905178375527809,0.9103249999999999
0.904,,11025.619137091968,0.9289988977923266,0.8928811022076736,0.9109400000000001
0.9139,,11025.619137091968,0.9283384782756846,0.8954315217243155,0.9118850000000001
0.916,,11025.619137091968,0.9271689911303198,0.8988110088696804,0.9129900000000001
0.924,,11025.619137091968,0.927533225919715,0.9009867740802854,0.9142600000000002
0.9252,,11025.619137091968,0.9276167685118852,0.9035232314881148,0.91557
0.9204,,11025.619137091968,0.9278861567246965,0.9044738432753034,0.91618
0.9218,,11025.619137091968,0.9284801343541128,0.9047798656458871,0.91663
0.9128,,11025.619137091968,0.9284595761273745,0.9048804238726257,0.9166700000000001
0.9001,buy,11025.619137091968,0.9295874851519618,0.9018725148480381,0.9157299999999999
0.9113,,11025.619137091968,0.9283150652439596,0.9017749347560402,0.9150449999999999
0.9065,,11162.81159830231,0.9272395675182575,0.9010904324817425,0.914165
0.9118,,11104.014829212163,0.9264261563209544,0.9009938436790457,0.91371
0.919,,11168.936261749202,0.9266858830776757,0.9009541169223244,0.9138200000000001
0.9114,,11257.131415384423,0.9266061090477195,0.9007838909522804,0.9136949999999999
0.9135,,11164.036530991689,0.9264824584396252,0.901637541560375,0.9140600000000001
0.91,,11189.760117468628,0.9264341521753604,0.9013258478246396,0.91388
0.9156,,11146.887473340397,0.9264261794371349,0.9013238205628651,0.913875
0.9226,,11215.483703945567,0.9274137557718284,0.9011262442281714,0.9142699999999999
0.9187,,11301.228992202032,0.927839927760381,0.9013200722396189,0.91458
0.926,,11253.456617316288,0.9294066449894851,0.9010533550105149,0.91523
0.9224,,11342.876703640888,0.9296291066391462,0.9026708933608538,0.91615
0.932,,11298.779126823276,0.9322227601302373,0.9018872398697624,0.9170549999999998
0.945,sell,11416.372665003571,0.9381360682874177,0.8988739317125823,0.918505
0.9469,,11575.613914622718,0.9429575998448214,0.8963424001551787,0.9196500000000001
0.9444,,11575.613914622718,0.9463362430010168,0.894883756998983,0.9206099999999999
0.9418,,11575.613914622718,0.9490942183623946,0.8942657816376053,0.9216799999999999
0.9493,,11575.613914622718,0.9531245667096362,0.8929854332903637,0.923055
0.944,,11575.613914622718,0.9556657411556598,0.8935642588443401,0.924615
0.9433,,11575.613914622718,0.956632688774374,0.8969173112256262,0.9267750000000001
0.9446,,11575.613914622718,0.958377999089346,0.8985020009106539,0.9284399999999999
0.9466,,11575.613914622718,0.9595559293999061,0.9013340706000939,0.930445
0.947,,11575.613914622718,0.9608217028885324,0.9035882971114677,0.9322050000000001
