gen,evals,dataset_i,avg,std,min,max
237,100,2,[  1.42375638 433.62281096],[  1.00266126 347.85521062],[ 0.08374077 53.66906065],[   3.82161523 2962.7552535 ]
238,96,2,[  1.58965254 412.60943956],[  1.01086157 371.52056771],[ 0.08374077 53.66906065],[   3.82161523 2962.7552535 ]
239,96,2,[  1.73559844 383.04333042],[  1.00767552 367.70631598],[ 0.08374077 53.66906065],[   3.82161523 2962.7552535 ]
240,94,2,[  1.80574296 368.0138028 ],[  1.06439725 367.54394704],[ 0.08374077 53.66906065],[   3.82161523 2962.7552535 ]
241,94,0,[  2.63074559 295.12091299],[   1.26377566 1109.60186473],[1.92018568e-04 6.64920995e-01],[4.83268454e+00 1.04813797e+04]
242,88,0,[  2.72631412 506.40606331],[1.44854093e+00 1.80600190e+03],[1.92018568e-04 9.17951427e-01],[6.61697620e+00 1.04813797e+04]
243,96,0,[  2.76213917 628.37874849],[1.53106282e+00 2.06804906e+03],[0.01512105 1.13160773],[6.61697620e+00 1.04813797e+04]
244,96,0,[   2.53655016 1016.14850181],[1.62893129e+00 3.13565046e+03],[1.71427451e-04 1.25480588e+00],[6.64011573e+00 1.91078966e+04]
245,98,0,[   2.41526212 1161.9674123 ],[1.58836966e+00 3.35583878e+03],[1.71427451e-04 1.99963505e+00],[6.72046297e+00 1.91078966e+04]
246,96,0,[   2.1804393  1631.52151082],[1.58554772e+00 4.15133188e+03],[8.29936504e-05 1.99963505e+00],[6.72046297e+00 1.91078966e+04]
247,96,0,[   2.16431355 1998.81247929],[1.71704135e+00 4.73587024e+03],[1.71427451e-04 1.99963505e+00],[6.72046297e+00 1.91117634e+04]
248,92,0,[   2.26982824 1121.41407584],[1.5567399e+00 3.6522579e+03],[2.17453332e-04 2.14607941e+00],[7.01128096e+00 2.14004361e+04]
249,96,1,[  1.48089528 945.91649191],[  0.750158   586.59056075],[0.32216541 2.50114019],[   5.04861684 1905.5504668 ]
250,94,1,[  1.58237655 992.49334143],[  0.82529162 591.62437632],[0.3013408  2.50114019],[   5.04861684 2306.30789575]
251,97,1,[  1.63428941 974.38132179],[  0.86593953 599.78832485],[0.3013408  2.50114019],[   5.04861684 2306.30789575]
252,97,1,[  1.75095745 975.0024833 ],[  1.05282617 648.10967187],[0.3013408  2.50114019],[   5.04861684 2630.77766825]
253,98,1,[  1.79546375 986.55188279],[  1.09897915 663.57000241],[0.3013408  2.50114019],[   5.04861684 2630.77766825]
254,99,1,[   1.72579439 1006.46033462],[  0.96735926 694.1860718 ],[0.29721925 2.58239048],[   5.07618974 2630.77766825]
255,94,1,[   1.60167411 1070.30924288],[  0.75869657 677.10823779],[0.29721925 5.79076342],[   5.09918385 2630.77766825]
